K,d0,step
40,13,20
48,19,24
56,5,28
64,23,32
72,25,36
80,31,40
88,27,44
96,35,48
104,33,52
112,13,56
120,73,60
128,47,64
136,43,68
144,125,72
152,47,76
160,141,80
168,17,0
176,65,88
184,103,92
192,71,96
200,63,100
208,79,104
216,47,72
224,83,112
232,143,116
240,89,120
248,95,124
256,47,64
264,215,132
272,101,136
280,33,140
288,55,72
296,93,148
304,113,152
312,97,156
320,141,240
328,103,164
336,199,168
344,279,172
352,65,88
360,223,180
368,127,92
376,139,188
384,71,96
392,341,196
400,191,80
408,257,204
416,77,104
424,157,212
432,119,144
440,201,220
448,197,336
456,143,228
464,305,116
472,147,236
480,269,360
488,213,244
496,219,124
504,139,168
512,95,128
528,83,132
544,103,136
560,87,280
576,161,192
592,93,148
608,113,152
624,275,468
640,119,160
656,267,164
672,295,504
688,107,172
704,199,88
720,199,240
736,231,184
752,117,188
768,265,96
784,123,196
800,97,160
816,229,204
832,77,104
848,345,212
864,65,96
880,247,220
896,327,224
912,143,228
928,73,116
944,265,236
960,89,120
976,181,244
992,189,248
1008,139,168
1024,95,128
1056,83,132
1088,375,408
1120,207,280
1152,107,144
1184,93,148
1216,115,152
1248,97,156
1280,439,480
1312,103,164
1344,463,504
1376,107,172
1408,131,176
1440,209,120
1472,137,184
1504,895,188
1536,119,96
1568,41,56
1600,97,160
1632,127,204
1664,287,208
1696,1009,212
1728,223,192
1760,137,220
1792,141,224
1824,143,228
1856,173,232
1888,399,708
1920,151,240
1952,669,1220
1984,309,248
2016,533,840
2048,95,128
2112,83,132
2176,307,272
2240,629,840
2304,469,432
2368,811,888
2432,721,912
2496,649,936
2560,119,160
2624,191,328
2688,631,1008
2752,315,344
2816,131,176
2880,329,600
2944,137,184
3008,345,376
3072,143,192
3136,41,56
3200,351,480
3264,647,408
3328,155,208
3392,263,424
3456,643,384
3520,477,440
3584,393,672
3648,541,456
3712,503,464
3776,415,472
3840,451,240
3904,607,488
3968,623,496
4032,295,336
4096,95,128
4160,163,260
4224,307,528
4288,167,268
4352,885,816
4416,173,276
4480,513,560
4544,499,284
4608,817,960
4672,183,292
4736,515,888
4800,191,240
4864,189,304
4928,501,924
4992,361,468
5056,197,316
5120,119,160
5184,127,192
5248,1015,1804
5312,207,332
5376,587,672
5440,213,340
5504,107,172
5568,217,348
5632,221,352
5696,223,356
5760,281,240
5824,271,364
5888,507,368
5952,233,372
6016,117,188
6080,237,380
6144,743,960
